,es,en
hammer,Martillo,Hammer
stick,Palo,Stick
str,Fuerza,Strenght
int,Inteligencia,Intelligence
dex,Destreza,Dexterity
con,Constitución,Constitution
atr,Atributos,Attributes
skill,Talento,Skill
skills,Talentos,Skills
swords,Espadas,Swords
combat,Combate,Combat
elemental,Maestría elemental,Elemental mastery
dodge,Esquiva,Dodge
evasion,Evasión,Evasion
hat,Sombrero raro,Funny hat
fh_desc,"Un sombrero muy raro, que te tapa los ojos.","A funny hat, that covers your eyes"
hpreg,Regeneración de salud,Health regeneration
epreg,Regeneración de energía,Energy regeneration
steel_bsword,Espada ancha de acero,Steel broadsword
steel_bsword_desc,Una espada. La punta va hacia el enemigo,A sword. Tip goes towars enemy.
axe,Hacha de guerra,War axe
axe_desc,"Una vieja hacha, que aún funciona","An old axe, that still works"
staff,Vara,Staff
